year,region,public_chargers,fast_chargers,population_millions
2020,North America,112000,28000,370
2020,Europe,250000,38000,450
2020,Asia,850000,320000,4600
2021,North America,135000,35000,372
2021,Europe,360000,55000,451
2021,Asia,1250000,500000,4610
2022,North America,155000,42000,374
2022,Europe,530000,85000,452
2022,Asia,1950000,800000,4620
2023,North America,185000,53000,376
2023,Europe,730000,130000,453
2023,Asia,2950000,1250000,4630
2024,North America,220000,68000,378
2024,Europe,1020000,195000,454
2024,Asia,4100000,1800000,4640
2025,North America,270000,85000,380
2025,Europe,1350000,270000,455
2025,Asia,5400000,2450000,4650
