date,region,policy,impact_score
2020-01-01,Europe,EU CO2 fleet targets phase-in,3.5
2020-06-15,North America,US EV tax credit extension,2.0
2021-07-01,Europe,Fit for 55 proposal,4.0
2022-08-16,North America,Inflation Reduction Act EV credits,4.5
2023-03-01,Asia,China NEV purchase tax exemption,3.0
2023-10-01,Europe,EU battery regulation enforcement,3.8
2024-05-20,North America,US tariff on Chinese EVs 100%,4.8
2024-09-01,Europe,EU provisional tariffs on Chinese EVs,4.2
2025-01-15,Asia,Japan EV subsidy expansion,2.5
2025-03-10,North America,US critical mineral sourcing rules,3.5
