year,company,category,investment_usd_b
2020,Toyota,battery,1.2
2020,Toyota,manufacturing,0.8
2020,Toyota,charging,0.1
2020,Toyota,software,0.3
2021,Toyota,battery,1.5
2021,Toyota,manufacturing,1.0
2021,Toyota,charging,0.2
2021,Toyota,software,0.4
2022,Toyota,battery,2.0
2022,Toyota,manufacturing,1.2
2022,Toyota,charging,0.3
2022,Toyota,software,0.5
2023,Toyota,battery,3.5
2023,Toyota,manufacturing,2.0
2023,Toyota,charging,0.5
2023,Toyota,software,0.8
2024,Toyota,battery,4.0
2024,Toyota,manufacturing,2.5
2024,Toyota,charging,0.6
2024,Toyota,software,1.0
2025,Toyota,battery,5.0
2025,Toyota,manufacturing,3.0
2025,Toyota,charging,0.8
2025,Toyota,software,1.2
2020,Volkswagen,battery,4.0
2020,Volkswagen,manufacturing,3.0
2020,Volkswagen,charging,0.5
2020,Volkswagen,software,1.0
2021,Volkswagen,battery,5.0
2021,Volkswagen,manufacturing,4.0
2021,Volkswagen,charging,0.8
2021,Volkswagen,software,1.5
2022,Volkswagen,battery,6.0
2022,Volkswagen,manufacturing,5.0
2022,Volkswagen,charging,1.0
2022,Volkswagen,software,2.0
2023,Volkswagen,battery,7.0
2023,Volkswagen,manufacturing,5.5
2023,Volkswagen,charging,1.2
2023,Volkswagen,software,2.5
2024,Volkswagen,battery,8.0
2024,Volkswagen,manufacturing,6.0
2024,Volkswagen,charging,1.5
2024,Volkswagen,software,3.0
2025,Volkswagen,battery,9.0
2025,Volkswagen,manufacturing,6.5
2025,Volkswagen,charging,1.8
2025,Volkswagen,software,3.5
2020,GM,battery,2.5
2020,GM,manufacturing,2.0
2020,GM,charging,0.3
2020,GM,software,0.8
2021,GM,battery,3.0
2021,GM,manufacturing,2.5
2021,GM,charging,0.5
2021,GM,software,1.0
2022,GM,battery,3.5
2022,GM,manufacturing,3.0
2022,GM,charging,0.6
2022,GM,software,1.2
2023,GM,battery,4.0
2023,GM,manufacturing,3.5
2023,GM,charging,0.8
2023,GM,software,1.5
2024,GM,battery,4.5
2024,GM,manufacturing,4.0
2024,GM,charging,1.0
2024,GM,software,1.8
2025,GM,battery,5.0
2025,GM,manufacturing,4.5
2025,GM,charging,1.2
2025,GM,software,2.0
2020,Ford,battery,1.8
2020,Ford,manufacturing,1.5
2020,Ford,charging,0.2
2020,Ford,software,0.5
2021,Ford,battery,2.2
2021,Ford,manufacturing,1.8
2021,Ford,charging,0.3
2021,Ford,software,0.7
2022,Ford,battery,2.8
2022,Ford,manufacturing,2.2
2022,Ford,charging,0.4
2022,Ford,software,0.9
2023,Ford,battery,3.2
2023,Ford,manufacturing,2.5
2023,Ford,charging,0.5
2023,Ford,software,1.1
2024,Ford,battery,3.8
2024,Ford,manufacturing,3.0
2024,Ford,charging,0.6
2024,Ford,software,1.3
2025,Ford,battery,4.2
2025,Ford,manufacturing,3.2
2025,Ford,charging,0.7
2025,Ford,software,1.5
2020,Hyundai-Kia,battery,2.0
2020,Hyundai-Kia,manufacturing,1.8
2020,Hyundai-Kia,charging,0.2
2020,Hyundai-Kia,software,0.4
2021,Hyundai-Kia,battery,2.5
2021,Hyundai-Kia,manufacturing,2.0
2021,Hyundai-Kia,charging,0.3
2021,Hyundai-Kia,software,0.6
2022,Hyundai-Kia,battery,3.0
2022,Hyundai-Kia,manufacturing,2.5
2022,Hyundai-Kia,charging,0.4
2022,Hyundai-Kia,software,0.8
2023,Hyundai-Kia,battery,3.5
2023,Hyundai-Kia,manufacturing,3.0
2023,Hyundai-Kia,charging,0.5
2023,Hyundai-Kia,software,1.0
2024,Hyundai-Kia,battery,4.0
2024,Hyundai-Kia,manufacturing,3.5
2024,Hyundai-Kia,charging,0.6
2024,Hyundai-Kia,software,1.2
2025,Hyundai-Kia,battery,4.5
2025,Hyundai-Kia,manufacturing,4.0
2025,Hyundai-Kia,charging,0.7
2025,Hyundai-Kia,software,1.4
